what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863118198
error,log,,,"An error has occurred. See error log for more details.",1364863118210
error,log,,,"Error occurred during status handling",1364863118211
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863118213
error,log,,,"An error has occurred. See error log for more details.",1364863118224
error,log,,,"Error occurred during status handling",1364863118226
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863118228
error,log,,,"An error has occurred. See error log for more details.",1364863118238
error,log,,,"Error occurred during status handling",1364863118240
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863118241
error,log,,,"An error has occurred. See error log for more details.",1364863118252
error,log,,,"Error occurred during status handling",1364863118254
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863118255
error,log,,,"An error has occurred. See error log for more details.",1364863118265
error,log,,,"Error occurred during status handling",1364863118267
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863118268
error,log,,,"An error has occurred. See error log for more details.",1364863118278
error,log,,,"Error occurred during status handling",1364863118280
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863118281
error,log,,,"An error has occurred. See error log for more details.",1364863118305
error,log,,,"Error occurred during status handling",1364863118307
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863118308
error,log,,,"An error has occurred. See error log for more details.",1364863118319
error,log,,,"Error occurred during status handling",1364863118321
error,log,,,"Invalid registry object",1364863118325
error,log,,,"Invalid registry object",1364863118327
error,log,,,"Invalid registry object",1364863118329
error,log,,,"Invalid registry object",1364863118330
error,log,,,"Invalid registry object",1364863118331
error,log,,,"Invalid registry object",1364863118332
activated,editor,com.android.ide.eclipse.adt,21.1.0.v201302060044-569685,"com.android.ide.eclipse.editors.CommonXmlEditor",1364863118332
error,log,,,"Unhandled event loop exception",1364863118336
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863118339
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863118340
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863118341
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863118423
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863118426
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863118428
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863118430
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863118431
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863118432
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863118433
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863118434
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863118435
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863118436
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863118437
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863118438
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863118439
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863118442
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863118443
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863118445
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863118447
error,log,,,"Unhandled event loop exception",1364863118458
error,log,,,"Invalid registry object",1364863118541
error,log,,,"Invalid registry object",1364863118542
error,log,,,"Invalid registry object",1364863118543
error,log,,,"Unhandled event loop exception",1364863118564
error,log,,,"Unhandled event loop exception",1364863118590
error,log,,,"Unhandled event loop exception",1364863118591
error,log,,,"Unhandled event loop exception",1364863118592
error,log,,,"Unhandled event loop exception",1364863118593
error,log,,,"Unhandled event loop exception",1364863118594
error,log,,,"Unhandled event loop exception",1364863118595
error,log,,,"Unhandled event loop exception",1364863118597
error,log,,,"Unhandled event loop exception",1364863118599
error,log,,,"Unhandled event loop exception",1364863118599
error,log,,,"Unhandled event loop exception",1364863118600
error,log,,,"Unhandled event loop exception",1364863118601
error,log,,,"Unhandled event loop exception",1364863118602
error,log,,,"Unhandled event loop exception",1364863118602
error,log,,,"Unhandled event loop exception",1364863118603
error,log,,,"Unhandled event loop exception",1364863118604
error,log,,,"Unhandled event loop exception",1364863118605
error,log,,,"Unhandled event loop exception",1364863118605
error,log,,,"Unhandled event loop exception",1364863118606
error,log,,,"Unhandled event loop exception",1364863118608
error,log,,,"Unhandled event loop exception",1364863118609
error,log,,,"Unhandled event loop exception",1364863118610
error,log,,,"Unhandled event loop exception",1364863118611
error,log,,,"Unhandled event loop exception",1364863118612
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1364863118640
error,log,,,"Unhandled event loop exception",1364863118647
error,log,,,"Unhandled event loop exception",1364863118647
error,log,,,"Unhandled event loop exception",1364863118648
error,log,,,"Unhandled event loop exception",1364863118649
error,log,,,"Unhandled event loop exception",1364863118650
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863118903
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.navigator.j2ee.ui.jaxws for object P/Scoutin",1364863118905
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863118906
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.appclient for object P/Scoutin",1364863118907
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863118907
error,log,,,"An exception occurred invoking extension: org.eclipse.ui.navigator.resourceContent for object P/Scoutin",1364863118908
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863118911
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.navigator.j2ee.ui.jaxws for object P/Scoutin",1364863118912
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863118913
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.appclient for object P/Scoutin",1364863118914
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863118915
error,log,,,"An exception occurred invoking extension: org.eclipse.ui.navigator.resourceContent for object P/Scoutin",1364863118916
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863118920
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863118922
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863118923
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863118924
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863118926
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863118927
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863118928
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863118931
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863118933
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863118935
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863118936
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863118938
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863118942
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863118945
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863118961
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364863118973
error,log,,,"An error has occurred. See error log for more details.",1364863118983
error,log,,,"Error occurred during status handling",1364863118985
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863118986
error,log,,,"An error has occurred. See error log for more details.",1364863119002
error,log,,,"Error occurred during status handling",1364863119003
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863119005
error,log,,,"An error has occurred. See error log for more details.",1364863119026
error,log,,,"Error occurred during status handling",1364863119027
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863119028
error,log,,,"An error has occurred. See error log for more details.",1364863119044
error,log,,,"Error occurred during status handling",1364863119046
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863119048
error,log,,,"An error has occurred. See error log for more details.",1364863119064
error,log,,,"Error occurred during status handling",1364863119065
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863119067
error,log,,,"An error has occurred. See error log for more details.",1364863119088
error,log,,,"Invalid registry object",1364863119090
error,log,,,"Error occurred during status handling",1364863119092
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863119095
error,log,,,"An error has occurred. See error log for more details.",1364863119108
error,log,,,"Error occurred during status handling",1364863119109
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863119110
error,log,,,"An error has occurred. See error log for more details.",1364863119121
error,log,,,"Error occurred during status handling",1364863119122
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863119123
error,log,,,"An error has occurred. See error log for more details.",1364863119134
error,log,,,"Error occurred during status handling",1364863119135
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863119136
error,log,,,"An error has occurred. See error log for more details.",1364863119146
error,log,,,"Error occurred during status handling",1364863119147
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863119148
error,log,,,"An error has occurred. See error log for more details.",1364863119158
error,log,,,"Error occurred during status handling",1364863119159
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863119160
error,log,,,"An error has occurred. See error log for more details.",1364863119171
error,log,,,"Error occurred during status handling",1364863119172
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863119173
error,log,,,"An error has occurred. See error log for more details.",1364863119183
error,log,,,"Error occurred during status handling",1364863119184
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863119185
error,log,,,"An error has occurred. See error log for more details.",1364863119196
error,log,,,"Error occurred during status handling",1364863119197
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863119198
error,log,,,"An error has occurred. See error log for more details.",1364863119209
error,log,,,"Error occurred during status handling",1364863119210
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863119211
error,log,,,"An error has occurred. See error log for more details.",1364863119221
error,log,,,"Error occurred during status handling",1364863119222
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863119223
error,log,,,"An error has occurred. See error log for more details.",1364863119235
error,log,,,"Error occurred during status handling",1364863119236
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863119237
error,log,,,"An error has occurred. See error log for more details.",1364863119247
error,log,,,"Error occurred during status handling",1364863119248
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863119249
error,log,,,"An error has occurred. See error log for more details.",1364863119260
error,log,,,"Error occurred during status handling",1364863119261
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863119262
error,log,,,"An error has occurred. See error log for more details.",1364863119274
error,log,,,"Error occurred during status handling",1364863119275
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863119276
error,log,,,"An error has occurred. See error log for more details.",1364863119287
error,log,,,"Error occurred during status handling",1364863119288
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863119290
error,log,,,"An error has occurred. See error log for more details.",1364863119301
error,log,,,"Error occurred during status handling",1364863119302
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863119319
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.navigator.j2ee.ui.jaxws for object P/Scoutin",1364863119320
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863119321
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.appclient for object P/Scoutin",1364863119322
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863119323
error,log,,,"An exception occurred invoking extension: org.eclipse.ui.navigator.resourceContent for object P/Scoutin",1364863119324
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863119329
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863119331
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863119333
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863119334
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863119336
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863119337
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863119338
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863119340
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863119341
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863119343
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863119345
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863119346
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863119349
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863119352
error,log,,,"An error has occurred. See error log for more details.",1364863119365
error,log,,,"Error occurred during status handling",1364863119366
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863119367
error,log,,,"An error has occurred. See error log for more details.",1364863119379
error,log,,,"Error occurred during status handling",1364863119380
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863119380
error,log,,,"An error has occurred. See error log for more details.",1364863119392
error,log,,,"Error occurred during status handling",1364863119394
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863119395
error,log,,,"An error has occurred. See error log for more details.",1364863119409
error,log,,,"Error occurred during status handling",1364863119410
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863119411
error,log,,,"An error has occurred. See error log for more details.",1364863119424
error,log,,,"Error occurred during status handling",1364863119425
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863119426
error,log,,,"An error has occurred. See error log for more details.",1364863119439
error,log,,,"Error occurred during status handling",1364863119440
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863119441
error,log,,,"An error has occurred. See error log for more details.",1364863119453
error,log,,,"Error occurred during status handling",1364863119454
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863119455
