what,kind,bundleId,bundleVersion,description,time
error,log,,,"Error occurred during status handling",1364863119780
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863119781
error,log,,,"An error has occurred. See error log for more details.",1364863119794
error,log,,,"Error occurred during status handling",1364863119794
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863119795
error,log,,,"An error has occurred. See error log for more details.",1364863119808
error,log,,,"Error occurred during status handling",1364863119809
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863119810
error,log,,,"An error has occurred. See error log for more details.",1364863119824
error,log,,,"Error occurred during status handling",1364863119825
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863119826
error,log,,,"An error has occurred. See error log for more details.",1364863119839
error,log,,,"Error occurred during status handling",1364863119840
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863119841
error,log,,,"An error has occurred. See error log for more details.",1364863119854
error,log,,,"Error occurred during status handling",1364863119855
error,log,,,"Invalid registry object",1364863119856
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863119856
error,log,,,"An error has occurred. See error log for more details.",1364863119873
error,log,,,"Error occurred during status handling",1364863119876
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863119877
error,log,,,"An error has occurred. See error log for more details.",1364863119894
error,log,,,"Error occurred during status handling",1364863119896
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863119897
error,log,,,"An error has occurred. See error log for more details.",1364863119912
error,log,,,"Error occurred during status handling",1364863119913
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863119914
error,log,,,"An error has occurred. See error log for more details.",1364863119926
error,log,,,"Error occurred during status handling",1364863119927
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863119928
error,log,,,"An error has occurred. See error log for more details.",1364863119942
error,log,,,"Error occurred during status handling",1364863119942
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863119943
error,log,,,"An error has occurred. See error log for more details.",1364863119957
error,log,,,"Error occurred during status handling",1364863119958
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863119959
error,log,,,"An error has occurred. See error log for more details.",1364863119974
error,log,,,"Error occurred during status handling",1364863119975
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863119976
error,log,,,"An error has occurred. See error log for more details.",1364863119991
error,log,,,"Error occurred during status handling",1364863119992
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863119993
error,log,,,"An error has occurred. See error log for more details.",1364863120006
error,log,,,"Error occurred during status handling",1364863120007
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863120008
error,log,,,"An error has occurred. See error log for more details.",1364863120022
error,log,,,"Error occurred during status handling",1364863120023
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863120024
error,log,,,"An error has occurred. See error log for more details.",1364863120041
error,log,,,"Error occurred during status handling",1364863120043
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863120044
error,log,,,"An error has occurred. See error log for more details.",1364863120062
error,log,,,"Error occurred during status handling",1364863120063
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863120080
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.navigator.j2ee.ui.jaxws for object P/Scoutin",1364863120081
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863120082
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.appclient for object P/Scoutin",1364863120083
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863120084
error,log,,,"An exception occurred invoking extension: org.eclipse.ui.navigator.resourceContent for object P/Scoutin",1364863120084
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863120121
error,log,,,"An exception occurred invoking extension: org.eclipse.ui.navigator.resourceContent for object P/Scoutin",1364863120122
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863120124
error,log,,,"An exception occurred invoking extension: org.eclipse.ui.navigator.resourceContent for object P/Scoutin",1364863120125
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863120127
error,log,,,"An exception occurred invoking extension: org.eclipse.ui.navigator.resourceContent for object P/Scoutin",1364863120128
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863120130
error,log,,,"An exception occurred invoking extension: org.eclipse.ui.navigator.resourceContent for object P/Scoutin",1364863120130
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863120132
error,log,,,"An exception occurred invoking extension: org.eclipse.ui.navigator.resourceContent for object P/Scoutin",1364863120132
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863120144
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.navigator.j2ee.ui.jaxws for object P/Scoutin",1364863120145
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863120146
error,log,,,"An exception occurred invoking extension: org.eclipse.jst.jee.ui.appclient for object P/Scoutin",1364863120146
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863120147
error,log,,,"An exception occurred invoking extension: org.eclipse.ui.navigator.resourceContent for object P/Scoutin",1364863120147
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863120151
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863120153
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863120154
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863120155
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863120156
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863120157
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863120158
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863120159
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863120160
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863120161
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863120162
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863120164
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.navigator"".",1364863120168
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863120170
error,log,,,"An error has occurred. See error log for more details.",1364863120185
error,log,,,"Error occurred during status handling",1364863120186
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863120187
error,log,,,"An error has occurred. See error log for more details.",1364863120200
error,log,,,"Error occurred during status handling",1364863120201
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863120202
error,log,,,"An error has occurred. See error log for more details.",1364863120215
error,log,,,"Error occurred during status handling",1364863120216
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863120217
error,log,,,"An error has occurred. See error log for more details.",1364863120231
error,log,,,"Error occurred during status handling",1364863120232
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863120232
error,log,,,"An error has occurred. See error log for more details.",1364863120247
error,log,,,"Error occurred during status handling",1364863120248
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863120249
error,log,,,"An error has occurred. See error log for more details.",1364863120263
error,log,,,"Error occurred during status handling",1364863120264
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863120265
error,log,,,"An error has occurred. See error log for more details.",1364863120279
error,log,,,"Error occurred during status handling",1364863120280
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863120281
error,log,,,"An error has occurred. See error log for more details.",1364863120295
error,log,,,"Error occurred during status handling",1364863120296
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863120297
error,log,,,"An error has occurred. See error log for more details.",1364863120312
error,log,,,"Error occurred during status handling",1364863120313
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863120313
error,log,,,"Invalid registry object",1364863120318
error,log,,,"An error has occurred. See error log for more details.",1364863120329
error,log,,,"Error occurred during status handling",1364863120330
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863120332
error,log,,,"An error has occurred. See error log for more details.",1364863120346
error,log,,,"Error occurred during status handling",1364863120347
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863120347
error,log,,,"An error has occurred. See error log for more details.",1364863120363
error,log,,,"Error occurred during status handling",1364863120364
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863120364
error,log,,,"An error has occurred. See error log for more details.",1364863120382
error,log,,,"Error occurred during status handling",1364863120383
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863120383
error,log,,,"An error has occurred. See error log for more details.",1364863120398
error,log,,,"Error occurred during status handling",1364863120399
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863120401
error,log,,,"An error has occurred. See error log for more details.",1364863120418
error,log,,,"Error occurred during status handling",1364863120419
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863120420
error,log,,,"An error has occurred. See error log for more details.",1364863120435
error,log,,,"Error occurred during status handling",1364863120436
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863120437
error,log,,,"An error has occurred. See error log for more details.",1364863120452
error,log,,,"Error occurred during status handling",1364863120453
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863120454
error,log,,,"An error has occurred. See error log for more details.",1364863120468
error,log,,,"Error occurred during status handling",1364863120469
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863120469
error,log,,,"An error has occurred. See error log for more details.",1364863120485
error,log,,,"Error occurred during status handling",1364863120486
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863120487
error,log,,,"An error has occurred. See error log for more details.",1364863120502
error,log,,,"Error occurred during status handling",1364863120503
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863120504
error,log,,,"An error has occurred. See error log for more details.",1364863120519
error,log,,,"Error occurred during status handling",1364863120520
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863120522
error,log,,,"An error has occurred. See error log for more details.",1364863120537
error,log,,,"Error occurred during status handling",1364863120538
error,log,,,"Unhandled event loop exception",1364863120593
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863120644
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863120644
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863120645
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863120645
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863120646
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863120646
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863120647
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863120647
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863120648
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863120648
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863120648
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863120649
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863120649
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863120650
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863120650
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863120651
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863120651
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863120652
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863120652
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863120653
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863120653
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863120653
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863120654
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863120655
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863120655
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863120656
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863120656
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863120657
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863120657
