what,kind,bundleId,bundleVersion,description,time
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129453
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863129454
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129455
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129455
error,log,,,"Unhandled event loop exception",1364863129465
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863129501
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129502
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129502
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863129503
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129503
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129504
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863129505
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129505
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129505
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863129506
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129507
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129508
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863129509
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129509
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129510
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863129510
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129511
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129511
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863129512
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129512
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129513
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863129513
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129514
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129514
error,log,,,"Unhandled event loop exception",1364863129527
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863129601
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129601
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129602
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863129603
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129604
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129605
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863129606
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129606
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129607
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863129608
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129608
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129609
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863129610
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129610
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129611
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863129612
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129612
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129613
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863129614
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129614
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129615
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863129616
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129617
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129618
error,log,,,"Unhandled event loop exception",1364863129631
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863129686
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129686
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129686
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863129687
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129688
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129688
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863129689
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129690
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129690
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863129691
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129691
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129691
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863129700
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129701
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129701
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863129702
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129703
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129703
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863129704
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129704
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129765
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863129766
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129767
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863129767
error,log,,,"Unhandled event loop exception",1364863129779
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863129807
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863129825
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863129837
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863129855
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863129869
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863129880
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863129892
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863129906
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863129922
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863129930
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863129944
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863129953
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863129966
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863129974
closed,view,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201107221459,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1364863130188
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863130190
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1364863130411
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1364863130411
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1364863130462
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1364863130463
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1364863130525
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1364863130558
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1364863130559
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1364863130612
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1364863130612
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1364863130816
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1364863130817
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1364863130820
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1364863130820
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1364863130945
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1364863130946
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1364863130950
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1364863130951
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1364863131064
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1364863131065
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1364863131179
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1364863131180
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1364863131196
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1364863131197
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1364863131198
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1364863131198
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1364863131213
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1364863131214
