what,kind,bundleId,bundleVersion,description,time
error,log,,,"Error occurred during status handling",1364863121182
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863121183
error,log,,,"An error has occurred. See error log for more details.",1364863121199
error,log,,,"Error occurred during status handling",1364863121200
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863121201
error,log,,,"An error has occurred. See error log for more details.",1364863121219
error,log,,,"Error occurred during status handling",1364863121221
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863121222
error,log,,,"An error has occurred. See error log for more details.",1364863121240
error,log,,,"Error occurred during status handling",1364863121241
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863121242
error,log,,,"An error has occurred. See error log for more details.",1364863121260
error,log,,,"Error occurred during status handling",1364863121261
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863121262
error,log,,,"An error has occurred. See error log for more details.",1364863121279
error,log,,,"Error occurred during status handling",1364863121280
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863121281
error,log,,,"An error has occurred. See error log for more details.",1364863121297
error,log,,,"Error occurred during status handling",1364863121299
error,log,,,"Unhandled event loop exception",1364863121331
error,log,,,"Unhandled event loop exception",1364863121349
error,log,,,"An internal error occurred during: ""Decoration Calculation"".",1364863121614
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.commands"".",1364863121754
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863121803
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863121803
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863121804
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863121805
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863121806
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863121806
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863121807
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863121808
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863121808
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863121809
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863121809
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863121809
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863121810
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863121811
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863121811
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863121812
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863121813
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863121814
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863121815
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863121815
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863121816
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863121816
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863121818
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863121819
error,log,,,"The command (""org.jboss.ide.eclipse.packages.ui.actions.BuildArchivesAction"") is undefined",1364863121934
error,log,,,"Unhandled event loop exception",1364863121959
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863122088
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863122089
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863122090
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863122091
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863122092
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863122092
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863122093
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863122094
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863122095
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863122097
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863122098
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863122099
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863122100
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863122101
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863122102
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863122104
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863122105
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863122106
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863122107
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863122108
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863122109
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863122111
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863122113
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863122115
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863122116
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863122117
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863122118
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863122119
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863122120
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863122121
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863122122
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863122123
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863122124
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863122125
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863122126
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863122127
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863122128
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863122129
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863122130
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863122131
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863122132
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863122133
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863122133
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.equinox.registry"".",1364863122134
error,log,,,"Error notifying registry change listener.",1364863122140
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1364863122166
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1364863122167
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1364863122171
error,log,,,"Exception in org.eclipse.ui.internal.registry.UIExtensionTracker$2.doAdd: org.eclipse.core.runtime.InvalidRegistryObjectException: Invalid registry object",1364863122172
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863122294
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863122294
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863122295
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863122296
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863122296
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863122297
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863122297
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863122298
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863122298
