what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863127931
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863127944
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863127954
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863127968
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863127980
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863127989
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863127996
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863128010
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863128023
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863128034
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.jface"".",1364863128040
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863128136
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863128136
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863128137
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863128138
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863128139
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863128140
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863128141
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863128142
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863128142
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863128144
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863128144
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863128145
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863128146
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863128146
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863128147
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863128148
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863128148
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863128149
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.ui.workbench"".",1364863128149
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863128150
error,log,,,"Failed to update callback: org.eclipse.ui.newWizard",1364863128150
